"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","570","test_questions_and_answers[1]","tests","Sun Dec 01 20:25:43 UZT 2024","passed","Sun Dec 01 20:25:43 UZT 2024","TestMainPage","test_main_page","",""
"","576","test_questions_and_answers[8]","tests","Sun Dec 01 20:28:28 UZT 2024","passed","Sun Dec 01 20:28:29 UZT 2024","TestMainPage","test_main_page","",""
"","562","test_questions_and_answers[5]","tests","Sun Dec 01 20:27:18 UZT 2024","passed","Sun Dec 01 20:27:18 UZT 2024","TestMainPage","test_main_page","",""
"","584","test_questions_and_answers[6]","tests","Sun Dec 01 20:27:41 UZT 2024","passed","Sun Dec 01 20:27:42 UZT 2024","TestMainPage","test_main_page","",""
"","588","test_questions_and_answers[2]","tests","Sun Dec 01 20:26:05 UZT 2024","passed","Sun Dec 01 20:26:06 UZT 2024","TestMainPage","test_main_page","",""
"","565","test_questions_and_answers[4]","tests","Sun Dec 01 20:26:55 UZT 2024","passed","Sun Dec 01 20:26:56 UZT 2024","TestMainPage","test_main_page","",""
"","591","test_questions_and_answers[3]","tests","Sun Dec 01 20:26:34 UZT 2024","passed","Sun Dec 01 20:26:34 UZT 2024","TestMainPage","test_main_page","",""
"","590","test_questions_and_answers[7]","tests","Sun Dec 01 20:28:03 UZT 2024","passed","Sun Dec 01 20:28:04 UZT 2024","TestMainPage","test_main_page","",""
"","4352","test_create_order[locator0-order_data0]","tests","Sun Dec 01 20:28:50 UZT 2024","passed","Sun Dec 01 20:28:55 UZT 2024","TestOrderPage","test_order_page","",""
"","4299","test_create_order[locator1-order_data1]","tests","Sun Dec 01 20:29:17 UZT 2024","passed","Sun Dec 01 20:29:21 UZT 2024","TestOrderPage","test_order_page","",""
"","8004","test_switch_page[locator1-expected_locator1]","tests","Sun Dec 01 20:30:17 UZT 2024","passed","Sun Dec 01 20:30:25 UZT 2024","TestSwitchOrderPage","test_switch_page","",""
"","295","test_switch_page[locator0-expected_locator0]","tests","Sun Dec 01 20:29:44 UZT 2024","passed","Sun Dec 01 20:29:44 UZT 2024","TestSwitchOrderPage","test_switch_page","",""
